id_competence,competence,competence_definition,id_skill,ability,ability_definition,course_abilities
1.0,Accountability,Una persona demuestra su accountability cuando asume responsabilidad personal sobre las acciones que emprende y los resultados que consigue.,1.0,Autogestión,Habilidad para orientar la toma de decisiones y dirigir las propias acciones hacia el cumplimiento de objetivos específicos.,"Autogestión: 
Habilidad para orientar la toma de decisiones y dirigir las propias acciones hacia el cumplimiento de objetivos específicos."
1.0,Accountability,Una persona demuestra su accountability cuando asume responsabilidad personal sobre las acciones que emprende y los resultados que consigue.,2.0,Proactividad,Habilidad para tomar activamente el control y hacer que las cosas ocurran en lugar de simplemente ajustarse a una situación o esperar a que suceda algo.,"Proactividad: 
Habilidad para tomar activamente el control y hacer que las cosas ocurran en lugar de simplemente ajustarse a una situación o esperar a que suceda algo."
1.0,Accountability,Una persona demuestra su accountability cuando asume responsabilidad personal sobre las acciones que emprende y los resultados que consigue.,3.0,Integridad,"Habilidad para alinear las acciones propias a los principios de responsabilidad, compromiso y honradez.","Integridad: 
Habilidad para alinear las acciones propias a los principios de responsabilidad, compromiso y honradez."
2.0,Inteligencia emocional,"Una persona demuestra su inteligencia emocional cuando pone en acción e interacción una serie de conocimientos, capacidades, habilidades y  prácticas para gobernar sus propias emociones o para reconocer los estados emocionales del otro y actuar en consecuencia.",4.0,Empatía,Habilidad para identificarse con el otro reconociendo lo que siente a partir de la lectura de su lenguaje no verbal y la asunción de su perspectiva.,"Empatía: 
Habilidad para identificarse con el otro reconociendo lo que siente a partir de la lectura de su lenguaje no verbal y la asunción de su perspectiva."
2.0,Inteligencia emocional,"Una persona demuestra su inteligencia emocional cuando pone en acción e interacción una serie de conocimientos, capacidades, habilidades y  prácticas para gobernar sus propias emociones o para reconocer los estados emocionales del otro y actuar en consecuencia.",5.0,Autoconocimiento,"Habilidad para reconocer los propios estados mentales, procesos psicológicos, disposiciones y preferencias en un acto autorreflexivo.","Autoconocimiento: 
Habilidad para reconocer los propios estados mentales, procesos psicológicos, disposiciones y preferencias en un acto autorreflexivo."
2.0,Inteligencia emocional,"Una persona demuestra su inteligencia emocional cuando pone en acción e interacción una serie de conocimientos, capacidades, habilidades y  prácticas para gobernar sus propias emociones o para reconocer los estados emocionales del otro y actuar en consecuencia.",6.0,Autorregulación,"Habilidad para controlar y gestionar los propios pensamientos, emociones, acciones y motivaciones mediante una serie de estrategias personales que permiten tanto la consecución de objetivos como la evitación de resultados no deseados. ","Autorregulación: 
Habilidad para controlar y gestionar los propios pensamientos, emociones, acciones y motivaciones mediante una serie de estrategias personales que permiten tanto la consecución de objetivos como la evitación de resultados no deseados. "
2.0,Inteligencia emocional,"Una persona demuestra su inteligencia emocional cuando pone en acción e interacción una serie de conocimientos, capacidades, habilidades y  prácticas para gobernar sus propias emociones o para reconocer los estados emocionales del otro y actuar en consecuencia.",7.0,Autocompasión,Habilidad para actuar hacia uno mismo de forma amable y compasiva cuando se está atravesando un momento difícil o se experimenta decepción sobre sí mismo.,"Autocompasión: 
Habilidad para actuar hacia uno mismo de forma amable y compasiva cuando se está atravesando un momento difícil o se experimenta decepción sobre sí mismo."
2.0,Inteligencia emocional,"Una persona demuestra su inteligencia emocional cuando pone en acción e interacción una serie de conocimientos, capacidades, habilidades y  prácticas para gobernar sus propias emociones o para reconocer los estados emocionales del otro y actuar en consecuencia.",8.0,Resiliencia,Habilidad para sobreponerse a la adversidad o adaptarse a una situación adversa con resultados positivos.,"Resiliencia: 
Habilidad para sobreponerse a la adversidad o adaptarse a una situación adversa con resultados positivos."
3.0,Trabajo en equipo,"Una persona demuestra que sabe trabajar en equipo cuando es capaz de dirigir sus esfuerzos al logro de una meta común a su equipo de trabajo, subordinando sus intereses personales a los objetivos y estrategias trazados por este y corresponsabilizándose de los resultados obtenidos en conjunto.",9.0,Trabajo colaborativo, Habilidad para producir bienes y servicios en coordinación con otras personas que comparten un mismo objetivo y hacen parte de la misma comunidad de individuos autoorganizada.,"Trabajo colaborativo: 
 Habilidad para producir bienes y servicios en coordinación con otras personas que comparten un mismo objetivo y hacen parte de la misma comunidad de individuos autoorganizada."
3.0,Trabajo en equipo,"Una persona demuestra que sabe trabajar en equipo cuando es capaz de dirigir sus esfuerzos al logro de una meta común a su equipo de trabajo, subordinando sus intereses personales a los objetivos y estrategias trazados por este y corresponsabilizándose de los resultados obtenidos en conjunto.",10.0,Gestión del conflicto,"Habilidad para prevenir o contener la escalada de un conflicto o reducir su naturaleza destructiva, con el fin de alcanzar una situación en la que sea posible llegar a un acuerdo o a la resolución del propio conflicto.","Gestión del conflicto: 
Habilidad para prevenir o contener la escalada de un conflicto o reducir su naturaleza destructiva, con el fin de alcanzar una situación en la que sea posible llegar a un acuerdo o a la resolución del propio conflicto."
